original_dmo,original_coordinates,original_latitude,original_longitude,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"Roma Capitale, Direzione Turismo","41.904978779219995, 12.489904497078953",41.90497877922,12.489904497079,2.0355439360515484,"San Basilio agli Orti Sallustiani, Via di San Basilio, 00187 Roma Roma, Italia",41.904896750000006,12.489886494635705,San Basilio agli Orti Sallustiani,,Via di San Basilio,00187,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rovigo Convention & Visitors Bureau,"45.05309872053284, 11.78611693587438",45.0530987205328,11.7861169358744,39.318009478879986,"Florgas Sas, Via del Lavoro, 4, 45100 Rovigo RO, Italia",45.053452,11.7860958,Florgas Sas,4,Via del Lavoro,45100,Comune di Rovigo,,Rovigo,Rovigo,RO,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Skirama Kronplatz / Plan de Corones,"46.785064662743316, 11.921821748917573",46.7850646627433,11.9218217489176,0,"BusinessPark ZUKUNFT, Via J.G. Mahl, 40, 39031 Brunico BZ, Italia",46.785162,11.9217189932435,BusinessPark ZUKUNFT,40,Via J.G. Mahl,39031,,Bruneck - Brunico,Brunico,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sorrento Convention Bureau,"40.6249387402583, 14.377396113478047",40.6249387402583,14.377396113478,7.07260679445403,"Via Fuorimura, 80067 Sorrento NA, Italia",40.6249969,14.37776,Via Fuorimura,,Via Fuorimura,80067,Parsano,Santa Lucia,Sorrento,Napoli,NA,Campania,CAM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Terme e Colli Euganei,"45.35447550040167, 11.772595254964846",45.3544755004017,11.7725952549648,37.85469348897369,"Via Monteortone, 19, 35031 Abano Terme PD, Italia",45.354739,11.772902,,19,Via Monteortone,35031,Comune di Abano Terme,,Abano Terme,Padova,PD,Veneto,VEN,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Terre di Siena Convention Bureau,"43.317950935843065, 11.332031519064106",43.3179509358431,11.3320315190641,0,"Palazzo Pubblico, Via di Salicotto, 53100 Siena SI, Italia",43.31799695,11.332012987233671,Palazzo Pubblico,,Via di Salicotto,53100,,Centro Storico Medievale,Siena,Siena,SI,Toscana,TOS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Terre Pescaresi,"42.306847582747814, 14.06166052778254",42.3068475827478,14.0616605277825,10.572364597130639,"Municipio, Via Andrea Costa, 68022 Manoppello PE, Italia",42.3067602,14.0617112,Municipio,,Via Andrea Costa,68022,Comune di Manoppello,Manoppello Scalo,Manoppello,Pescara,PE,Abruzzo,ABR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Terre vicentine,"45.542353264824975, 11.509534626137132",45.542353264825,11.5095346261371,0,"Camera di Commercio, Industria, Artigianato e Agricoltura, Via Eugenio Montale, 27, 36100 Vicenza VI, Italia",45.54232855,11.50947345,"Camera di Commercio, Industria, Artigianato e Agricoltura",27,Via Eugenio Montale,36100,,Pomari,Vicenza,Vicenza,VI,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Toscana Promozione Turistica,"43.79038295190224, 11.257233981195562",43.7903829519022,11.2572339811956,0,"Villa Fabbricotti, Via Trieste, 50199 Firenze FI, Italia",43.79057225,11.257377431564564,Villa Fabbricotti,,Via Trieste,50199,Statuto,Quartiere 5,Firenze,Firenze,FI,Toscana,TOS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tre Cime Dolomiti,"46.73114758077672, 12.329630200000295",46.7311475807767,12.3296302000003,1.0154700600135884,"Gröberhütte, Via Ombrosa, 39038 San Candido BZ, Italia",46.7311872,12.329528700000001,Gröberhütte,,Via Ombrosa,39038,,Vierschach,San Candido,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
